run,closure,ice,forcing
baseline,k-eps,winton,lagrangian
forcing_eulerian,k-eps,winton,eulerian
ice_lebedev,k-eps,lebedev,lagrangian
cross_keps_lebedev_eulerian,k-eps,lebedev,eulerian
ice_mylake,k-eps,mylake,lagrangian
cross_keps_mylake_eulerian,k-eps,mylake,eulerian
turb_komega,k-omega,winton,lagrangian
cross_komega_winton_eulerian,k-omega,winton,eulerian
cross_komega_lebedev_lagrangian,k-omega,lebedev,lagrangian
cross_komega_lebedev_eulerian,k-omega,lebedev,eulerian
cross_komega_mylake_lagrangian,k-omega,mylake,lagrangian
cross_komega_mylake_eulerian,k-omega,mylake,eulerian
turb_kpp,kpp,winton,lagrangian
cross_kpp_winton_eulerian,kpp,winton,eulerian
cross_kpp_lebedev_lagrangian,kpp,lebedev,lagrangian
cross_kpp_lebedev_eulerian,kpp,lebedev,eulerian
cross_kpp_mylake_lagrangian,kpp,mylake,lagrangian
cross_kpp_mylake_eulerian,kpp,mylake,eulerian
