run,rmse_T,rmse_S,closure,ice,forcing,chaotic,contaminated,valid
baseline,3.3553834103902287,0.3439881845503189,k-eps,winton,lagrangian,False,False,True
forcing_eulerian,3.3553834103902287,0.3439881845503189,k-eps,winton,eulerian,False,False,True
ice_lebedev,3.3553834103902287,0.3439881845503189,k-eps,lebedev,lagrangian,False,False,True
cross_keps_lebedev_eulerian,3.3553834103902287,0.3439881845503189,k-eps,lebedev,eulerian,False,False,True
ice_mylake,3.3553834103902287,0.3439881845503189,k-eps,mylake,lagrangian,False,False,True
cross_keps_mylake_eulerian,3.3553834103902287,0.3439881845503189,k-eps,mylake,eulerian,False,False,True
turb_komega,3.3279364146999013,0.36881027611894995,k-omega,winton,lagrangian,False,False,True
cross_komega_winton_eulerian,3.3279364146999013,0.36881027611894995,k-omega,winton,eulerian,False,False,True
cross_komega_lebedev_lagrangian,3.3279364146999013,0.36881027611894995,k-omega,lebedev,lagrangian,False,False,True
cross_komega_lebedev_eulerian,3.3279364146999013,0.36881027611894995,k-omega,lebedev,eulerian,False,False,True
cross_komega_mylake_lagrangian,3.3279364146999013,0.36881027611894995,k-omega,mylake,lagrangian,False,False,True
cross_komega_mylake_eulerian,3.3279364146999013,0.36881027611894995,k-omega,mylake,eulerian,False,False,True
turb_kpp,3.336407028881222,0.34437332608922905,kpp,winton,lagrangian,False,False,True
cross_kpp_winton_eulerian,3.336407028881222,0.34437332608922905,kpp,winton,eulerian,False,False,True
cross_kpp_lebedev_lagrangian,3.336407028881222,0.34437332608922905,kpp,lebedev,lagrangian,False,False,True
cross_kpp_lebedev_eulerian,3.336407028881222,0.34437332608922905,kpp,lebedev,eulerian,False,False,True
cross_kpp_mylake_lagrangian,3.336407028881222,0.34437332608922905,kpp,mylake,lagrangian,False,False,True
cross_kpp_mylake_eulerian,3.336407028881222,0.34437332608922905,kpp,mylake,eulerian,False,False,True
ic_ens_pp,3.354357548330758,0.343613431571021,,,,False,False,True
ic_ens_pm,3.3542955654532394,0.34440184818673436,,,,False,False,True
ic_ens_mp,3.356464809431122,0.3436258243767026,,,,False,False,True
ic_ens_mm,3.3563998268743953,0.34441379946776884,,,,False,False,True
