run,closure,ice,forcing,max_diff_vs_noice,identical_to_noice
baseline,k-eps,winton,lagrangian,0.04396247863769531,False
forcing_eulerian,k-eps,winton,eulerian,0.04396247863769531,False
ice_lebedev,k-eps,lebedev,lagrangian,0.04396247863769531,False
cross_keps_lebedev_eulerian,k-eps,lebedev,eulerian,0.04396247863769531,False
ice_mylake,k-eps,mylake,lagrangian,0.04396247863769531,False
cross_keps_mylake_eulerian,k-eps,mylake,eulerian,0.04396247863769531,False
turb_komega,k-omega,winton,lagrangian,1.008184552192688,False
cross_komega_winton_eulerian,k-omega,winton,eulerian,1.008184552192688,False
cross_komega_lebedev_lagrangian,k-omega,lebedev,lagrangian,1.008184552192688,False
cross_komega_lebedev_eulerian,k-omega,lebedev,eulerian,1.008184552192688,False
cross_komega_mylake_lagrangian,k-omega,mylake,lagrangian,1.008184552192688,False
cross_komega_mylake_eulerian,k-omega,mylake,eulerian,1.008184552192688,False
turb_kpp,kpp,winton,lagrangian,0.1473557949066162,False
cross_kpp_winton_eulerian,kpp,winton,eulerian,0.1473557949066162,False
cross_kpp_lebedev_lagrangian,kpp,lebedev,lagrangian,0.1473557949066162,False
cross_kpp_lebedev_eulerian,kpp,lebedev,eulerian,0.1473557949066162,False
cross_kpp_mylake_lagrangian,kpp,mylake,lagrangian,0.1473557949066162,False
cross_kpp_mylake_eulerian,kpp,mylake,eulerian,0.1473557949066162,False
