run,closure,ice,rmse_T,rmse_T_oct2019,rmse_T_feb2020,max_hice
e2_keps_winton,k-eps,winton,3.157346033316142,4.737429880372463,1.5772621862598213,0.0
e2_keps_lebedev,k-eps,lebedev,3.157346033316142,4.737429880372463,1.5772621862598213,0.0
e2_keps_mylake,k-eps,mylake,3.157346033316142,4.737429880372463,1.5772621862598213,0.0
e2_komega_winton,k-omega,winton,2.82259489770097,4.5319039004992225,1.1132858949027171,0.0
e2_komega_lebedev,k-omega,lebedev,2.82259489770097,4.5319039004992225,1.1132858949027171,0.0
e2_komega_mylake,k-omega,mylake,2.82259489770097,4.5319039004992225,1.1132858949027171,0.0
e2_kpp_winton,kpp,winton,3.1283720803657493,4.700331235930869,1.5564129248006295,0.0
e2_kpp_lebedev,kpp,lebedev,3.1283720803657493,4.700331235930869,1.5564129248006295,0.0
e2_kpp_mylake,kpp,mylake,3.1283720803657493,4.700331235930869,1.5564129248006295,0.0
e2_noice_keps,k-eps,no_ice,3.157346033316142,4.737429880372463,1.5772621862598213,0.0
e2_noice_komega,k-omega,no_ice,2.82259489770097,4.5319039004992225,1.1132858949027171,0.0
e2_noice_kpp,kpp,no_ice,3.1283720803657493,4.700331235930869,1.5564129248006295,0.0
