run,closure,ice,rmse_T,max_hice
fa_keps_winton,k-eps,winton,3.3687028595675237,0.0
fa_keps_lebedev,k-eps,lebedev,3.3687028595675237,0.0
fa_keps_mylake,k-eps,mylake,3.3687028595675237,0.0
fa_komega_winton,k-omega,winton,3.4734533974578703,1.239722728729248
fa_komega_lebedev,k-omega,lebedev,3.354556506233407,0.0
fa_komega_mylake,k-omega,mylake,3.350692380550737,0.04704980179667473
fa_kpp_winton,kpp,winton,3.3538862132263083,0.0
fa_kpp_lebedev,kpp,lebedev,3.3538862132263083,0.0
fa_kpp_mylake,kpp,mylake,3.3538862132263083,0.0
fa_noice_keps,k-eps,no_ice,3.3687028595675237,0.0
fa_noice_komega,k-omega,no_ice,3.354556506233407,0.0
fa_noice_kpp,kpp,no_ice,3.3538862132263083,0.0
